"PR"	"URL"	"Title"	"Content type"	"Is rendered page"	"HTTP status code"	"Organic traffic"	"Referenced in sitemaps"	"No. of href inlinks"	"No. of redirect inlinks"	"No. of canonical inlinks"	"No. of hreflang inlinks"	"No. of pagination inlinks"	"No. of CSS inlinks"	"No. of IMG inlinks"	"No. of JS inlinks"
"20"	"https://www.amadolibros.com/libro/MLU634440646/trading-en-el-forex-raghee-horner"	"Trading en el Forex - Raghee Horner | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU621915871/carreras-de-resistencia-caballos-caballo-equitacion"	"Carreras de Resistencia. Caballos Caballo Equitación | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU643545690/el-milagro-antiestres-dr-carlos-jaramillo"	"El Milagro Antiestrés, Dr. Carlos Jaramillo | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU610554670/libro-beyond-b1-workbook"	"Libro Beyond B1 Workbook | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU636030596/como-explicarte-el-mundo-cris-aberasturi-andres"	"Como Explicarte El Mundo Cris - Aberasturi,andres | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU625795835/autismos-madres-terapeutas-desafios-valdez-libro-paidos"	"Autismos Madres Terapeutas Desafios - Valdez - Libro Paidos | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU625745211/cartas-72-angeles-las-christiane-muller-kaya"	"Cartas 72 Angeles, las - Christiane Muller, Kaya | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU617210212/libro-mapa-del-alma-persona-nuestras-muchas-caras"	"Libro - Mapa del Alma Persona - Nuestras Muchas Caras | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU625745327/economia-humanista-sampedro-jose-luis"	"Economía Humanista - Sampedro, José Luis | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU612601681/libro-de-familias-psicosis-e-internacion-monica-fundin"	"Libro - De Familias, Psicosis E Internación - Monica… | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
