mlu	estado	revisado_antes	titulo	autor
MLU1001092502	disponible	si	Rodolfo Walsh, La Palabra Y La Accion - Jozami, Eduardo	JOZAMI, EDUARDO
MLU1001317126	disponible	no	Tecnoceno - Flavia Costa - Taurus - Libro	Flavia Costa
MLU1001343376	encargo	no	Happycracia - Cabanas, Edgar	Cabanas, Edgar
MLU1001355550	encargo	no	Libro La Reina Descalza De Ildefonso Falcones	Ildefonso Falcones
MLU1001382526	encargo	no	Bhaktivedanta Swami Prabhupada Bhagavad-gt Edición Bolsill	A.C. Bhaktivedanta Swami Prabhupada
MLU1001523996	disponible	no	Costa Tecnoceno Algoritmos Y Nuevas Formas De Vida	Flavia Costa
MLU1006823424	disponible	si	Valle De La Calma - Dross / Da Revilla - Temas Hoy - Libro	Dross
MLU1006888492	disponible	si	Ejercitación De Las Funciones Ejecutivas - Euredjian	Martha Euredjian
MLU1009347902	disponible	si	Ejercitación Funciones Ejecutivas Kit Estimulación Cognitiva	Martha Euredjian
MLU1009386546	disponible	si	Valle De La Calma Libro De Bienestar Y Reflexión	Dross
MLU1009881928	encargo	no	Hoy No Es Siempre, De Sabrina Critzmann. Editorial Planeta, Tapa Blanda En Español, 2019	Sabrina Critzmann
MLU1011675244	disponible	si	Jamás Tan Cerca Agustín Valle Paidós	Agustín Valle
MLU1016549898	encargo	no	Libro Carpe Diem: Aprovecha El Presente, De Humberto Montesinos. Editorial Independently Published, Tapa Blanda ( 2025)	Humberto Montesinos
MLU1017134606	encargo	no	Carpe Diem Aprovecha El Presente Libro Motivacional	Humberto Montesinos
MLU1017539392	encargo	no	Libro ALGún Tiempo Atrás - La Vida De Gustavo Cerati - Sergio Marchi - Sudamericana	Sergio Marchi
MLU1017617454	encargo	no	Manual Practico De La Construccion: Para Obras Nuevas Y Arreglos, De Jaime Nisnovich. 1, Vol. 1. Editorial Nisno, Tapa Blanda, Edición 1 En Español, 2022	Jaime Nisnovich
MLU1017638608	disponible	si	Después Del Genocidio	Abu-Tarbush, José
MLU1017669380	encargo	no	Manual Práctico De Construcción Obra Y Materiales	Jaime Nisnovich
MLU1018535344	disponible	si	Didier Fassin Después Del Genocidio Memoria Y Política	Abu-Tarbush, José
MLU1020898470	disponible	no	Raja Shehadeh Palestina Heredar El Futuro Medio Oriente	GOMEZ, LUZ
MLU1021047986	encargo	no	Bluey ¡cómo Brillan! Libro Con Linterna Interactivo, De Varios Autores. Editorial Pikids, Tapa Dura ( 2025)	Varios autores
MLU1023960666	disponible	no	Palestina.heredar El Futuro, De Gomez, Luz. Editorial Los Libros De La Catarata En Español, 2024	GOMEZ, LUZ
MLU1031375038	disponible	si	Goddard A Sus Órdenes Ley De La Asunción Y Manifestación	Neville Goddard
MLU1033790258	disponible	si	A Sus Órdenes, De Neville Goddard. Editorial Independently Published, Tapa Blanda En Español, 2019	Neville Goddard
MLU1033930562	disponible	si	Participacion Social Para Que ?, De Eduardo Menendez. Editorial Lugar Editorial, Tapa Blanda En Español	Eduardo Menendez
MLU1034099538	disponible	no	Nora Y Nico Van Al Dentista, De Calvo Llorente, Ainara. Editorial Geu En Español	Calvo Llorente, Ainara
MLU1034112540	disponible	no	El Abuelo, De Bassa I Martín, Ramon. Editorial Salvatella, Tapa Blanda En Español	Bassa i Martín, Ramon
MLU1034177556	encargo	no	Mi Cofre De Baño. Libro Acordeon, De Martinez, Sigrid. Editorial Auzou En Español	Martinez, Sigrid
MLU1034203536	disponible	si	Esculpiendo Palabras En La Arena, De Cristina Cortes. Editorial Desclee De Brouwer, Tapa Blanda En Español	Cortés, Cristina
MLU1034216544	disponible	si	Ideas Generales Sobre El Método : Manual Práctico	Maria Montessori
MLU1034268510	disponible	si	Las Manos De Mi Padre, De Deok-kyu Choi. Editorial Litera Libros, Tapa Dura En Español	DEOK-KYU CHOI
MLU1034268514	encargo	no	Libro El Dolor Silencioso Del Hombre, De Cristhian Daniel Gaona. Editorial Independently Published, Tapa Blanda	Cristhian Daniel Gaona
MLU1034320504	disponible	si	Yo Tendria Que Estar Muerta, De Julieta Prandi. Editorial The Orlando Books, Tapa Blanda En Español, 2024	Julieta Prandi
MLU1034333504	disponible	no	Taller De Otoño, De Matamoro Blas. Serie N/a, Vol. Volumen Unico. Editorial Blatt & Rios, Tapa Blanda, Edición 1 En Español	Blas Matamoro
MLU1038849242	encargo	no	365 Acertijos Y Retos De Ingenio - Capo,miquel	Capó, Miquel
MLU1038858644	encargo	no	Dk Mitos Y Leyendas Guia Ilustrada (tapa Dura)	Dorling Kindersley
MLU1038888100	disponible	no	Mates Del Día A Día Matemáticas Cartoné Escolar	Varios autores
MLU1038927348	encargo	no	Agenda Espiral Obelisco Multicolor Hadas 2026 Multiculor	
MLU1039014716	disponible	no	Infantil Reinos Minúsculos Insectos Solapas Gigante Libro	Anne Jankéliowitch
MLU1039018108	encargo	no	Agenda Hadas 2026 Planificador Mágico Escolar Niñas Diaria Multiculor Hadas 2026	
MLU1039044122	encargo	no	Libro 365 Acertijos De Ingenio Y Desafíos Mentales	Capó, Miquel
MLU1039134254	disponible	si	Libro Enigmas. Detectives A Domicilio 05: Misterios Terrorificos, De Paul Martin. Editorial Librooks	Paul Martin
MLU1039264144	disponible	no	Nickelodeon Dibuja A Los Loud Manual De Dibujo Paso A Paso	Émilie Malandain
MLU1040161920	encargo	no	Un Besito Y ¡a Dormir! Td Combel	Geis Conti, Patricia
MLU1041264234	encargo	no	El Principito Edición Ilustrada Premium Tapa Blanda	CHRISTOPHE QUILLIEN
MLU1041303238	encargo	no	Enciclopedia Ilustrada De El Principito_np, De Christophe Quillien. Editorial Lunwerg En Español	CHRISTOPHE QUILLIEN
MLU1041303410	encargo	no	Carson Dellosa Flash Cards Multiplication Tablas 1 A 12	Varios autores
MLU1041380942	disponible	no	Gnosis Y Tradiciones Sagradas: Ensayos Y Epistolario En Torno De La Obra De Francisco García Bazán, De Nante, Bernardo. Editorial El Hilo De Ariadna, Tapa Blanda En Español, 2015	Nante, Bernardo
MLU1041446020	disponible	no	Libro Gnosis Y Tradiciones Sagradas Esoterismo Ocultismo	Nante, Bernardo
MLU1041472400	disponible	si	Aves Migratorias: Una Guía Sobre 11 Magníficas Especies	Haller, Marina
MLU1041524306	disponible	si	Aves Migratorias: Una Guía Sobre 11 Magnificas Especies, De Floria Haller. N/a, Vol. Volumen Unico. Editorial Pípala, Tapa Blanda, Edición 1 En Español	Haller, Marina
MLU1041835110	encargo	no	Evaluacion Psicodeportologica, De Roffe, Marcelo.. Editorial Lugar En Español	Roffe, Marcelo
MLU1041860778	disponible	si	Animal, De Blanco Pantoja, Daniel., Vol. 1. Editorial Errata Naturae Editores S.l, Tapa Dura En Español	DANIEL BLANCO PANTOJA
MLU1042770714	encargo	no	Un Paso Por Delante De Wall Street: Cómo Utilizar Lo Que Ya Sabes Para Ganar Dinero En Bolsa, De Peter Lynch., Vol. 0.0. Editorial Deusto, Tapa Blanda, Edición 1.0 En Español, 2015	Peter Lynch
MLU1043915642	disponible	si	El Gran Estado, De Brook, Timothy. Alianza Editorial, Tapa Blanda En Español	Brook, Timothy
MLU1043928612	disponible	si	Es Primavera, De Aa. Vv.. Editorial Hachette, Tapa Blanda En Español	VV. AA.
MLU1044023240	encargo	no	Los Miserables - Estuche - Tomo 1 Y 2	Hugo, Victor
MLU1044110574	disponible	si	Vida De Ali, De Eig, Jonathan. Editorial Capitán Swing, Tapa Blanda En Español, 2022	Eig, Jonathan
MLU1044356710	encargo	no	Lula De La Cárcel A La Presidencia, De Juan Manuel Karg. Editorial Futurock, Tapa Blanda, Edición 1 En Español	Juan Manuel Karg
MLU1044629576	encargo	no	Explicaciones De Fronteras Inexplicables, De Un Mundo Inmenso. Editorial Ediciones Peninsula, Tapa Dura En Español, 2024	Un Mundo Inmenso
MLU1044629630	encargo	no	¡sin Vueltas!nos Animamos A Hablar De Sexualidad	Hurrell, Silvia
MLU1044629634	disponible	si	Libro Pequeña Guia Verde Para Acompañar A Madres Y Niñxs, De Adriana Marcus, Vol. 1. Editorial Madreselva, Tapa Blanda	Adriana Marcus
MLU1044785818	encargo	no	Victor Hugo Los Miserables Alianza Editorial Nuevo	Hugo, Victor
MLU1045175530	disponible	no	Principito Mi Libro De Texturas, De Aa.vv. Editorial Panini Infantil En Español	AA.VV.
MLU1045422536	disponible	si	La Sabana Santa Una Trilogia A Traves Del Tiempo Y El Espac, De Liberge, Eric. Editorial Hachette, Tapa Dura En Español	LIBERGE, ERIC
MLU1045526506	disponible	no	Vínculos De Noc Y Nic A Nanda-i Y Diagnósticos Médicos, De [et Al.]. Editorial Elsevier España, S.l.u. En Español	[et Al.]
MLU1047180696	encargo	no	Viaje Intimo De La Locura, El, De Roberto Iniesta Ojea. Editorial El Hombre Del Saco En Español	ROBERTO INIESTA OJEA
MLU1047466790	encargo	no	Roberto Iniesta El Viaje Intimo De La Locura Extremoduro	ROBERTO INIESTA OJEA
MLU1064594742	encargo	no	Eduardo Mateo Razones Locas Música Uruguaya Esencial	DE ALENCAR PINTO, GUILHERME
MLU1067797720	disponible	si	Programa Lee Comprensivamente Guía Teórica: Sin Datos, De Bárbara Gottheil Y Otros. Serie Sin Datos, Vol. 0. Editorial Paidós, Tapa Blanda, Edición Sin Datos En Español, 2011	Bárbara Gottheil y otros
MLU1067798132	disponible	si	Mayor Y Menor 7	Chanti
MLU1067850460	disponible	si	Sarkany Moda Femenina Tendencias Y Creatividad Emprender	Ricky Sarkany
MLU1067876690	disponible	si	Obesidad Virginia Busnelli Guía Médica Para Bajar De Peso	Virginia Busnelli
MLU1068018280	disponible	si	Lee Comprensivamente Guía Teórica Lectura Escolar	Bárbara Gottheil y otros
MLU1068997808	encargo	no	Los Cinco Minutos Del Espíritu Santo Devocional	Fernández, Víctor Manuel
MLU1069010642	encargo	no	Cinco Minutos Del Espiritu Santo, Los	Fernández, Víctor Manuel
MLU1069036734	encargo	no	Con La Guía De Una Doula, De Gentile, María Julia. Editorial V&r, Tapa Blanda En Español, 2024	Gentile, María Julia
MLU1089769546	encargo	no	Vida Y Muerte Del Cartel De Medellín. Carlos Lehder. Editorial Debate En Español. Tapa Blanda	Carlos Lehder Rivas
MLU1089847750	encargo	no	Vida Y Muerte Del Cartel De Medellín Libro Droga Escobar	Carlos Lehder Rivas
MLU1090107148	encargo	no	Aprendiendo A Amarme Libro Autoestima Y Amor Propio	Espejo, Sara
MLU1090120090	encargo	no	Libro Aprendiendo A Amarme - Sara Espejo, De Espejo, Sara. Editorial Sara Espejo, Tapa Blanda (2025)	Espejo, Sara
MLU1093817880	encargo	no	La Sombra Sobre Innsmouth, De H.p. Lovecraft. Editorial Minotauro, Tapa Dura En Español	Lovecraft, H. P.
MLU1094438362	disponible	si	Se Los Dije..., De Salvador Borrego Ph D. Editorial Createspace Independent Publishing Platform, Tapa Blanda En Español	Salvador Borrego Ph D
MLU1096421868	encargo	no	Complete Mathematics For Cambridge Igcse Extended (6th./ed.)	Bettison, Ian
MLU1098917370	encargo	no	Libro Etica Para Amador	Savater, Fernando
MLU1099171454	encargo	no	Libro Cero Miligramos (con Detalles)	Santi Talledo y Diego Vago
MLU1180583926	encargo	no	Libro Estuche Mistborn 1 2 Y 3 Contiene Nacidos De La Bruma El Poz, De Desconocido, Vol. 1. Editorial B De Bolsillo (2025)	Brandon Sanderson
MLU1183016990	disponible	si	Exodo Y Extasis En Ignacio De Loyola - Agx	Javier Melloni Ribas, SJ
MLU1183041406	encargo	no	La Montaña Eres Tú, De Wiest, Brianna., Vol. 1. Editorial Diana, Tapa Blanda En Español, 2022	Wiest, Brianna
MLU1195243950	encargo	no	Piel Con Piel, De Mala, Irene. Editorial Lumen, Tapa Dura En Español, 2024	MALA, IRENE
MLU1199537518	encargo	no	Animascopio. Animales Domésticos Libro Tapa Dura Español Auzou	Passchier, Anne
MLU1200369890	disponible	no	Aprende A Dibujar. Una Casa De Locos, De Varios Autores. Editorial Hachette En Español	Varios autores
MLU1201280134	disponible	si	Los Creadores, De Zweig, Stefan. Editorial Ulises, Tapa Blanda En Español	Zweig, Stefan
MLU1201370428	disponible	no	Santa Envidia, De Brown Taylor, Barbara. Editorial Editorial Espacio Ronda, Tapa Blanda En Español, 2024	Brown Taylor, Barbara
MLU1201893378	disponible	si	Como Proteger El Ganado Con Perros, De Nieto Macein, David. Editorial Tundra Ediciones En Español	NIETO MACEIN,DAVID
MLU1205667076	disponible	si	Cuando Fuimos Los Peripateticos - Hector Lozano	HECTOR LOZANO
MLU1205761938	encargo	no	Knooking: Nueva Técnica Para Tejer A Ganchillo - Veronika Hug Libro	Hug, Veronika
MLU1205804492	encargo	no	Nuovo Espresso 4 Libro Studente Ejercicios Curso Italiano	MARIA BALI
MLU1205882426	disponible	si	Libro Narcoticos Anonimos: Narcotics Anonymous (spanish Edition), De Wso, Vol. 1. Editorial Narcotics Anonymous World Services; 6a Edición (15 Septiembre 2010), Tapa Blanda	Wso
MLU1220087772	disponible	no	La Semilla Del Abuelo, De Aguirre, Marina. Editorial Bookolia, Tapa Dura En Español	AGUIRRE, MARINA
MLU1220408952	disponible	si	Libro Recreos Cerebrales - Rosana Fernández Coto - Bonum	Rosana Fernández Coto
MLU1220693036	encargo	no	Pilchas Criollas Assuncao Usos Y Costumbres Gaucho	FERNANDO ASSUNCAO
MLU1220693038	encargo	no	Pilchas Criollas - Fernando Assuncao	FERNANDO ASSUNCAO
MLU1220693488	disponible	si	Familias, Parejas, Analistas	Gomel, Silvia
MLU1225045586	encargo	no	Pistis Sophia Ev. Valentino Textos Apócrifos Religión Gnosis	PISTIS SOPHIA
MLU1225099264	disponible	si	El Camino De Regreso A Ti	Ian Morgan Cron, Suzanne Stabile
MLU1225110556	encargo	no	Pistis Sophia . El Evangelio De Valentino	PISTIS SOPHIA
MLU1240711968	disponible	si	Libro La Disgrafía De López A. M. Tapa Blanda En Español	López, A. M.
MLU1240711974	disponible	no	Principito Caja Con Personajes, De Aa.vv. Editorial Panini Infantil En Español	AA.VV.
MLU1240867816	disponible	no	La Letra Con Humor Entra, De Profesor Don Pardino. Editorial B, Tapa Blanda En Español, 2024	Profesor Don Pardino,
MLU1240880782	disponible	no	Libro Pequeños Crímenes Ilustrados Modesto García Montena 2024	Modesto García
MLU1241823202	disponible	no	Libro Barbie Chef, De Varios Autores. Editorial Hachette Infantil, Tapa Blanda	Varios autores
MLU1241823224	disponible	si	Los Doce Pasos De Deudores Anónimos	Deudores Anónimos
MLU1242482484	disponible	si	Mr. Robot	Sam Esmail y Courtney Looney
MLU1242623644	disponible	si	Parejas En Recuperación Anónimas	Recovering Couples Anonymous
MLU1242623688	encargo	no	Lo Que El Viento Se Llevo	Margaret Mitchell
MLU1243831046	encargo	no	Libro - Un Año Diferente - Cande Molfese - Planeta	Cande Molfese
MLU1245271578	encargo	no	Test - Las Aventuras De Pata Negra	Louis Corman
MLU1245272738	encargo	no	Ejercicios Parramón Rostros Y Expresiones	Equipo Parramon
MLU1245414700	encargo	no	Libro - Dormir - Littlehales, Nick	Littlehales, Nick
MLU1248123790	encargo	no	Yo Soy Tu - Enric Corbera	Corbera, Enric
MLU1256029160	disponible	si	Libro Mi Vida Y Yo Autobiografía Michael Caine, De Michael Caine. Editorial Primer Plano, Tapa Dura ( 1993)	CAINE, MICHAEL
MLU1256029996	disponible	si	Fidel Y Raúl, Mis Hermanos	Juanita Castro Ruíz
MLU1256327692	encargo	no	Libro Diamantes En Bruto, Mosquera, Trauma Tlp Emdr Testimonial, De Dolores Mosquera. Editorial Independently Published, Tapa Blanda ( 2024)	Dolores Mosquera
MLU1258310814	encargo	no	Libro - El Lunes Dieta - Zumaquero, Pablo	Zumaquero, Pablo
MLU1258418416	encargo	no	Libro - Las Adicciones Tóxicas - Héctor López	HECTOR LÓPEZ
MLU1258432688	disponible	si	Van Gogh	VV. AA.
MLU1260470270	disponible	si	Living In The Countryside Vida Campo Inspirador	B. STOELTIE
MLU1260470788	disponible	si	Mis Amigos Capibaras Carpinchos Phidal Infantil Escolar	Varios autores
MLU1285132414	encargo	no	Rick Rubin El Acto De Crear Creatividad Inspiracion	Rick Rubin
MLU1285132416	encargo	no	Libro El Acto De Crear Edicion Especial, De Rick Rubin. Editorial Editorial Diana Planeta	Rick Rubin
MLU1285365438	disponible	si	Sarkany Moda Femenina Tendencias Y Creatividad Emprender	Ricky Sarkany
MLU1291994198	encargo	no	Adios A La Inflamacion - Sandra Moñino	SANDRA MOÑINO
MLU1300070150	disponible	si	Cuaderno Ejercicios Estimulacion Funciones Cognitivas España	Carmen Mª León Lopa
MLU1300499218	disponible	no	Soda Stereo - Signos (vinyl	
MLU1302839010	disponible	si	Edipo Gay	Reitter Jorge N
MLU1303983184	encargo	no	Libro Cabeza Corazón Manos Álvaro González Alorda Tapa Dura, De Álvaro González Alorda. Editorial Riverview, Tapa Dura ( 2023)	GONZALEZ ALORDA, ALVARO
MLU1304642506	disponible	si	La Ternura Del Padre En Los Vinculos Actuales Berasain L36	Berasain, Martin
MLU1314314594	disponible	si	La Niña Del Parche Silvia G. Guirado Tapa Dura Español Gamusetes	G. Guirado, Silvia
MLU1314327628	encargo	no	Violencia Domestica Divorcio Y Adaptacion Psicolog - Canton	José Cantón Duarte; M.ª del Rosario Cortés Arboleda; M.ª Dolores Justicia Díaz; David Cantón Cortés
MLU1315867904	encargo	no	El Hijo Del Ajedrecista Fernando Rodriguez Mondragon	Fernando Rodriguez Mondragon ·
MLU1315868588	encargo	no	El Carro Medio Panzer Iv Osprey Bryan Perrett	Perrett, Bryan
MLU1317084612	disponible	si	Trotamundos En 200 Ciudades, De Aa. Vv.. Editorial Libros Cupula, Tapa Blanda En Español / Castellano, 2024	AA. VV.
MLU1317344512	disponible	si	Ejercicios Para Potenciar La Memoria Y La Concentracion (edicion Exclusiva), De Cuadernos Rubio. Editorial Grijalbo, Tapa Blanda En Español	CUADERNOS RUBIO
MLU1317435288	disponible	si	Susaeta Mi Primera Comunión Recuerdo Infantil	Varios
MLU1317435290	disponible	si	Mi Primera Comunión (rosa), De Varios. Editorial Ediciones Suromex, Tapa Dura En Español, 2022	Varios Autores
MLU1317542790	encargo	no	Reglas Y Características Todos Los Deportes Silvia Ferretti	Ferretti Paolo
MLU1317543346	encargo	no	Chicharrón Vigil Constancio	VIGIL, CONSTANCIO
MLU1317657750	disponible	no	Piloto De Stukas, De Rudel, Hans-ulrich. Editorial Editorial Acervo, Tapa Blanda En Español, 2009	Hans-Ulrich Rudel
MLU1317658166	disponible	si	Test Citap De Habilidades Grafomotoras	JUAN ANTONIO GARCÍA NÚÑEZ Y ORFELIO LEÓN GARCÍA
MLU1317658258	encargo	no	Sumar Al Amor Manual De Habilidades Para Familiares	Carola Pechon, Gabriela Rodriguez Rey, Corrine R. Stoewsand, Pablo Gagliesi, Paula José Quintero
MLU1317658468	encargo	no	Noticias Sobre Antigüedades Indian De La Banda Oriental	Ameghino, Florentino
MLU1319579722	encargo	no	Transforma Tu Vida Con Los 72 Nombres De Dios	ALBERTO Lajas Antunez
MLU1319646698	encargo	no	Libro - De Analista A Trader - Jaime M. Juez	Jaime M. Juez
MLU1319996880	encargo	no	El Viaje De Merlin Túnel De La Sabiduría Lajas	ALBERTO LAJAS
MLU1319996884	encargo	no	Quimica Ii Con Enfoque Por Competencia Lembrino Perez	IMELDA LUZ LEMBRINO PEREZ, GEORGINA RIVERA ALVAREZ
MLU1330178002	disponible	si	Un Vuelo A Roma: Un Viaje Inesperado Hacia La Felicidad, De Martín Virasoro. Editorial Metropolis, Tapa Blanda En Español, 2025	Martín Virasoro
MLU1330190798	disponible	si	Amigos, Amantes Y Aquello Tan Terrible (bolsillo), De Perry, Matthew., Vol. 1. Editorial Contraluz Editorial, Tapa Blanda En Español, 2024	Perry, Matthew
MLU1330191560	disponible	si	Libro Club De Brujas - Mel Knarik / Ayelén Romano	Mel Knarik y Atelén Romano
MLU1330192396	encargo	no	Barbara O'neill Antiguos Remedios Caseros Botica: Coleccio, De Green, Anne. Editorial Holisticheals Publishers, Tapa Blanda En Español, 2024	Green, Anne
MLU1330205296	encargo	no	Barbara O'neill Antiguos Remedios Caseros Botica Hierbas	Green, Anne
MLU1333230130	disponible	si	Color By Numbres Travel	Varios autores
MLU1346572834	disponible	no	Azul Casi Transparente. Ryu Murakami. Anagrama	Murakami, Ryu
MLU1346573926	encargo	no	Libro El Profeta, De Jose Maria Zavala. Editorial B, Editorial, Tapa Dura	JOSE MARIA ZAVALA
MLU1346585778	disponible	si	Las 9 Claves De La Curacion Natural Del Cancer Y Otras Enfer	Tuner, Kelly A.
MLU1346588184	encargo	no	Leones Contra Gacelas: Manual Completo Del Especulador	Cárpatos, José Luis
MLU1346596014	disponible	si	Libro El Coraje Que Necesitamos: La Rabia Y El Orgullo. La Fuerza De La Razón (fuera De Colección), De Oriana Fallaci, Vol. 1. Editorial La Esfera De Los Libros, S.l., Tapa Blanda (2025)	Oriana Fallaci
MLU1346598872	disponible	si	9 Claves Curación Natural Cáncer Guía Bienestar	Tuner, Kelly A.
MLU1346600476	disponible	si	Libro Lo Hicimos Bien, Chico, De Anthony Hopkins, Vol. 1. Editorial Libros Cupula, Tapa Dura	ANTHONY HOPKINS
MLU1346613772	disponible	si	Libro Kit Memoria Cognitiva Vuelta Al Mundo Detalles	Varios autores
MLU1346613974	encargo	no	Leones Contra Gacelas - Carpatos,jose Luis	Cárpatos, José Luis
MLU1349705242	encargo	no	Tecnofeudalismo Varoufakis Capitalismo Tecnología Deusto	Yanis Varoufakis
MLU1349705244	encargo	no	Tecno Feudalismos: El Sigiloso Sucesor Del Capitalismo, De Yanis Varoufakis., Vol. 1. Editorial Ediciones Deusto, Tapa Blanda En Español, 2024	Yanis Varoufakis
MLU1362321178	encargo	no	En Cambio - Bachrach,estanislao	Bachrach Estanislao
MLU1371752580	encargo	no	Yo Pude Tu Puedes, De Margarita Pasos. Editorial Harper, Tapa Blanda, Edición 1 En Español, 2024	Margarita Pasos
MLU1383605434	disponible	no	Libro El Tao Del Amor Y El Sexo - Jolan Chang	Chang, Jolan
MLU1389467502	encargo	no	Cuando Todos Saben Que Todos Lo Saben	Pinker, Steven
MLU1392392680	disponible	si	Nuestro Mundo Polivagal Vínculos Y Trauma - Porges	Stephen W. Porges - Seth Porges
MLU1396920042	disponible	si	Ojos De Gaza, Los - Plestia Alaqad	Plestia Alaqad
MLU1398580938	disponible	no	Kensuke´s Kingdom - Egmont	Morpurgo
MLU1398581154	encargo	no	La Peninsula De Las Casas Vacias, De Ucles David. Editorial Siruela, Tapa Blanda En Español, 2024	Uclés, David
MLU1398855008	encargo	no	Yo Recordare Por Ustedes, De Forn, Juan. Editorial Seix Barral, Tapa Blanda En Español	Forn, Juan
MLU1410228842	disponible	si	Libro El Cirujano De Almas	Zueco, Luis
MLU1411048170	encargo	no	Gray's Sports Almanac Back To The Future	DISTRIBUIDORA ORKO
MLU1411048306	encargo	no	Fascículo 10 + Mig-29 Fulcrum Aviones De Combate Nº 10	Salvat
MLU1411048330	encargo	no	Avion D Combate Lockheed Martin F-35 Lightning Ii, Us Navy	Salvat
MLU1411052698	encargo	no	Libro Diario Abuelo, De Galilea Kids, Vol. 1. Editorial Galilea Kids, Tapa Blanda	Galilea Kids
MLU1411052964	encargo	no	Los Principios Que Nos Guìan Narcoticos Anonimos	Narcóticos Anónimos
MLU1412217698	disponible	si	Sanar Dentro De Nuestras Relaciones Alcohólicas	Grupos de Familia de Al-Anon
MLU1412217822	encargo	no	Aviones De Combate Salvat F-22 Raptor	Salvat
MLU1412217824	encargo	no	Llenando El Vacío Mosquera Tlp Personalidad	VV. AA.
MLU1412217982	disponible	si	Un Día A La Vez Alcoholismo Grupo Alanon Ed 50 Aniversario	AL-ANON
MLU1412218158	disponible	si	Libro Caminaré En Tu Presencia Señor 8, De Paulinas, Vol. 8. Editorial Paulinas, Tapa Blanda (2009)	Paulinas Editora
MLU1412218276	encargo	no	Libro Con Sonidos - La Granja De Zenón	Nova rhoman
MLU1412218384	disponible	si	Un Principio Espiritual Por Día Narcóticos Anónimos	Narcóticos Anónimos
MLU1412218416	disponible	si	Los Milagros Ocurren Na Narcoticos Anonimos	Narcóticos Anónimos
MLU1412218672	disponible	si	Esperanza Para Hoy Alanon Al Anon Alcoholismo	Grupos de Familia Al-Anon
MLU1413218594	encargo	no	Mi Estuche De Pictos Tarjetas Pictogramas	Editorial Geu
MLU1413218670	encargo	no	Audiocuento Granja De Zenón + Figura De Pato	ZENON
MLU1414076220	disponible	si	Libro - Trasnoche De Pablo De Santis	Pablo De Santis
MLU1416777648	encargo	no	Libro Murdoku 80 Acertijos De Lógica Y Asesinatos	Garand, Manuel
MLU1416777650	encargo	no	Libro Murdoku: 80 Acertijos De Lógica Y Asesinatos, De Garand, Manuel, Vol. 1. Editorial Temas Hoy, Tapa Blanda (2025)	Manuel Garand
MLU1418183454	disponible	si	Alemania Libro Antiguo Industria Autos Trenes En Frances	Pay Christian Cartensen, Hans Hitzer y Friedrich Richter
MLU1418743620	disponible	si	Mi Estuche De Pictos Animales Geu Editorial	Geu Editorial
MLU1419875062	disponible	si	Mi Estuche Pictos Conceptos Xl Conceptos Geu Pictogramas	Editorial Geu
MLU1420573720	disponible	si	Memento Mori - Recuerda Tu Muerte	Varios autores
MLU1420593616	encargo	no	Comprensión Lectora Estrategias Lectores Autorregulados	Andrés Calero
MLU1421304822	disponible	si	Libro Minas-lavalleja Inauguración Monumento Patrio, De Lit. La Razon. Editorial La Razon, Tapa Blanda (1902)	Lit. LA RAZON
MLU1421357000	encargo	no	Delphine De Vigan Nada Se Opone A La Noche Anagrama	Delphine de Vigan
MLU1421357002	encargo	no	Libro Nada Se Opone A La Noche - Delphine De Vigan	Delphine de Vigan
MLU1421447894	disponible	si	El Libro Negro De Gaza Testimonios De Un Genocidio	Gonzalo Delgado
MLU1421711638	disponible	si	Resuelvo Problemas 7 Geu Editorial	Geu Editorial
MLU1426280254	disponible	si	Tierra Uruguaya Orestes Araújo 1913 Tomo I Libro Antiguo	Orestes Araujo
MLU1426348166	disponible	si	Microtraumas: Reconoce Y Combate Los Devastadores Efectos De Las Pequeñas Herida S Cotidianas, De Dra. Meg Arroll. Editorial Grijalbo En Español	DRA. MEG ARROLL
MLU1428454126	encargo	no	Árbol - Aya Kda	Aya Kōda
MLU1429430814	disponible	si	El Libro Negro De Gaza Testimonios De Un Genocidio	Gonzalo Delgado
MLU1430311076	encargo	no	Libro Encontrar Un Hogar - Ponte, Rene, De Ponte, Rene, Vol. 1. Alienta Editorial, Tapa Blanda	PONTE, RENE
MLU1430311520	disponible	si	El Aviso Christine Watkins Profecías Católicas Libro	Christine Watkins
MLU1430337252	disponible	si	Inacabada ( Mapa De Las Lenguas )	Richards, Ariel Florencia
MLU1430338332	disponible	si	Alquimia Fulcanelli Retorno Brujos Hitler Ocultismo Libros	Fulcanelli, Pauwels, Bergier y Ravenscroft
MLU1430338516	disponible	si	Pachita Jacobo Grinberg Curaciones Chamanicas Zen Libro Cero	Grinberg-Zylerbaum y Deshimaru
MLU1430350798	disponible	si	El Aviso : Testimonios Y Profecias Sobre La Illuminacion ...	Christine Watkins
MLU1430376012	disponible	si	Inacabada Ariel Richards Identidad De Género	Richards, Ariel Florencia
MLU1430376928	disponible	si	Lote Energias Teluricas Sueños Conspiracion Acuario Libro	Fulcanelli, Pauwels, Bergier y Ravenscroft
MLU1430938920	encargo	no	Carson Dellosa Flash Cards Multiplication Tablas 1 A 12	Varios autores
MLU1430941926	encargo	no	Audiocuento - Granja De Zenon - Percherón - Libro + Figura	La granja de zenon
MLU1430942720	encargo	no	Libro - 200 Tareas En Terapia Breve [2 Edicion] - Beyebach M	Beyebach Mark / H
