mlu	estado	revisado_antes	titulo	autor
MLU636119088	encargo	no	Legado, El, De Beder, German. Editorial Edic.autor En Español, 2021	Beder, German
MLU636119090	disponible	si	El Bosque No Se Vende - Abrazo De Letras - Serie Roja	Dede, Maria Laura
MLU636119096	encargo	no	Libro 9 Meses Desde Dentro	Gratacós Solsona, Eduard
MLU636119102	encargo	no	El Cambio Psicologico - Antoni Bolinches	Bolinches, Antoni
MLU636119114	disponible	si	Tres Jueces	Camilleri, Andrea; Cataldo, Giancarlo
MLU636119126	disponible	si	Enciende La Llama - Pablo Aragone	Aragone, Pablo
MLU636119144	disponible	si	Política Y Hospitalidad - Penchaszadeh, Ana Paula (papel)	Penchaszadeh, Ana Paula
MLU636119148	encargo	no	Leo Y La Copa - Ian Kin	Kin, Ian
MLU636119152	encargo	no	La Biblioteca De La Medianoche De Matt Haig Editorial Alianza	Matt Haig
MLU636144664	encargo	no	Un Papa Intermitente, De Magela Demarco. Editorial La Brujita De Papel En Español, 2021	Magela Demarco
MLU636144670	encargo	no	Un Mundo En Clave De Fa - Ezequiel Starobinsky	Ezequiel Starobinsky
MLU636144678	encargo	no	Patologias Del Acto En La Adolescencia - Barrionuevo, Cibeir	Barrionuevo Cibeira
MLU636144684	disponible	si	Lo Que Cuentan De Nosotros Iñigo Aguas Español 2022	Aguas, Iñigo
MLU636144686	encargo	no	Todos Los Universos Posibles - Shua, Ana Maria	Shua, Ana María
MLU636144688	encargo	no	Mil Besos Prohibidos	Onega, Sonsoles
MLU636144690	encargo	no	Libro Hazlo Tú Mismo Con Maestros De La Costura [ Original ]	Shine
MLU636144696	encargo	no	Peron El Fetiche De Las Masas - Nicolas Marquez	Nicolás Márquez
MLU636144698	encargo	no	Cáncer Y Debilidad Del Sistema Inmunitario Según Santa Hilde	Dr. WIGHARD STREHLOW
MLU636144706	encargo	no	Libro Libertad Financiera De Sergio Fernández Editorial Plataforma En Español Tapa Blanda	Sergio Fernández
MLU636144710	encargo	no	Luis Scola - El Abanderado - Mauricio Condocea, De Codocea, Mauricio. Editorial Basquet Plus Ediciones, Tapa Blanda En Español, 2021	Codocea, Mauricio
MLU636144716	encargo	no	La Anomalia - Herve Le Tellier	Le Tellier, Herve
MLU636144726	disponible	si	Psicoanalismo, El - Robert Castel	Robert Castel
MLU636144734	encargo	no	Cinco Destinos Oscuros - Tres Coronas Oscuras 4	Blake, Kendare
MLU636144742	encargo	no	Blockchain: La Revolución Industrial De Internet. Preukschat	Alex Preukschat
MLU636144744	encargo	no	Música De Cine - Partituras Para Aficionados Al Piano	FERNANDEZ PEREZ MIGUEL ANGEL
MLU636144762	encargo	no	9 Meses Desde Dentro - Gratacos Solsona, Eduard	Gratacós Solsona, Eduard
MLU636144764	encargo	no	Libro Inmune - Philipp Dettmer	Philipp Dettmer
MLU636153464	encargo	no	Palabra De Madre. Olza, Ibone	Olza, Ibone
MLU636157036	encargo	no	Nada Es Tan Terrible - Santandreu, Rafael	Santandreu, Rafael
MLU636157044	encargo	no	Libres: Guía Ilustrada Para Infancias Rebeldes - Maniowicz	Debbie Maniowicz
MLU636157052	encargo	no	Discapacidad E Ideologia De La Normalidad - Discapacidad	Rosato, Ana
MLU636157062	encargo	no	Piensa Como Un Monje De Jay Shetty Editorial Grijalbo	Shetty, Jay
MLU636157086	encargo	no	The Walking Dead - Vol. 1 - Dias Pasados - Robert Kirkman	Robert Kirkman / Tony Moore
MLU636157088	encargo	no	Libro La Vida De Las Abejas - Losada	Maeterlinck, Maurice
MLU636157090	encargo	no	Gardel En Imagenes - In Pictures (bilingüe)	Santoro, Walter
MLU636157092	disponible	si	Libro Qatar - Fonsi Loaiza	Fonsi Loaiza
MLU636157094	disponible	no	Todo Messi - Jordi Punti	Puntí, Jordi
MLU636157100	encargo	no	Ahora Que La Vida - Serrano Morón,ismael	Ismael Serrano Morón
MLU636157106	encargo	no	Libro Si Lo Crees, Lo Creas - Tracy, Brian	Tracy, Brian
MLU636157108	encargo	no	El Ruiseã¿or - Hannah, Kristin	Hannah, Kristin
MLU636157114	encargo	no	Libro Manos Que Curan 2 [ Hágase La Luz ] Barbara Brennan	Barbara Ann Brennan
MLU636252110	encargo	no	Por Que Enfermamos De Luis Chiozza	Luis Chiozza
MLU636252120	encargo	no	Que Digo Cuando Digo Te Amo Gabriel Cartaña Detalle Tapa	Gabriel Cartañá
MLU636252122	encargo	no	Te Quiero, Mamá !! Joanna Walsh - Judi Abbot	Joanna Walsh - Judi Abbot
MLU636302707	encargo	no	¡ Cuánto Color ! Raúl Bermejo Cabezas	MILÁN
MLU636328887	encargo	no	Revolution, Industry And Empire Aaron Wilkes	Wilkes, Aaron
MLU636354435	encargo	no	Aves Del Uruguay : Guía Completa Para Conocer	Gabriel Rocha
MLU636354487	disponible	si	Todo Lo Que Ganamos ¿y Si Después Es Nunca? - Emilia Huelva	EMILIA HUELVA
MLU636379910	encargo	no	Principito El Diviertete Jugando Y Pintando	Naumann & Göbel
MLU636380501	encargo	no	Con El Amor No Basta Beck Aaron	Aaron T. Beck
MLU636391896	encargo	no	Libro - Nimbus Una Nube De Emociones	NOEMI FERNANDEZ SELVA/EVA ZURITA
MLU636403981	encargo	no	Libro Encuentro Con La Sombra, De Zweig, C., Tapa Blanda (1997)	Zweig, C.
MLU636405695	encargo	no	La Experiencia Somática: Formación De Un Yo Personal, De Stanley Keleman. Editorial Desclée De Brouwer En Español	Keleman, Stanley
MLU636419511	encargo	no	Confesiones De Un Chef - Bourdain,anthony	Bourdain, Anthony
MLU636419751	encargo	no	Dios Salve A Pep	Marti Perarnau
MLU636431135	disponible	si	Borges : O La Coincidencia De Los Opuestos, De Estela Cédola. Editorial Eudeba En Español	Estela Cédola
MLU636445543	encargo	no	Blister Goma 430 4u Blister, De Milan. Editorial Luis Vives (edelvives), Tapa Dura En Español	MILÁN
MLU636445623	encargo	no	Aves Del Uruguay Guia Completa Para Conocer - Rocha Gab	Gabriel Rocha
MLU636445627	encargo	no	Paqueño Tratado Sobre La Amistad - Joana D´ Alessio	Joana D´alessio
MLU636455793	encargo	no	Constelaciones Familiares Por Sara Levita	Levita, Sara Gloria
MLU636456925	encargo	no	Chakras Kit The Seven Doors Of Energy Laura Tuan, De Laura Tuan. Editorial Lo Scarabeo	Laura Tuan
MLU636457655	encargo	no	La Crónica De Akakor, Karl Brugger, De Karl Brugger. Editorial Ediciones Chakravarti En Español	Karl Brugger
MLU636481757	encargo	no	Todo Sobre Tu Vulva (apuntes Sobre El Placer). Tati Español	Tati Español
