prioridad,mlu,titulo,isbn,stock,publicaciones_mismo_isbn,categoria,enriquecida,ficha_ampliada,falta,motivo,google_books,open_library,bne,loc,dnb
5399,MLU635308709,Universal Tarot R. De Angelis Lo Scarabeo,9780738700076,1,1,esoterismo-tarot/tarot-oraculos,si,si,páginas · temas,falta_google_books,pendiente,encontrado,sin_datos,sin_datos,sin_datos
5400,MLU641325740,Heroe De Las Mil Caras - Joseph Campbell,9788412213003,1,1,filosofia-ciencias-sociales/sociologia-antropologia,si,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5401,MLU643192559,"Juega Con La C (ca, Co, Cu) Leer Escribir Lectoescritura",9788421635636,1,1,infantil-juvenil/actividades-aprendizaje,si,si,editorial · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5402,MLU643771219,Libros Profeticos I William Blake Atlanta España Unico,9788494094156,1,1,literatura-ficcion/poesia,si,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5403,MLU646157654,Cambridge English First (fce) 2,9781285745046,1,1,idiomas-aprendizaje/ingles,si,si,páginas · temas,falta_google_books,pendiente,encontrado,sin_datos,error,encontrado
5404,MLU646394785,El Hombre De Estrella Plata Blueberry Charlier Giraud,9788484316800,1,1,comics-manga,si,si,editorial · temas,falta_google_books,pendiente,encontrado,encontrado,sin_datos,sin_datos
5405,MLU649576616,Luz En La Sombra Poder Lado Oscuro Debbie Chopra Deepak,9789507880896,1,1,desarrollo-personal,no,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5406,MLU657184646,"22 Cartas De Arcángeles, De Ángeles Shariel. Editorial Kolima, Tapa Blanda En Español, 2022",,1,1,esoterismo-tarot,no,si,páginas · temas,sin_isbn_valido,pendiente,pendiente,pendiente,pendiente,pendiente
5407,MLU659006700,Universal Tarot Grand Trumps,9780738746371,1,1,esoterismo-tarot/tarot-oraculos,si,si,páginas · temas,falta_google_books,pendiente,encontrado,sin_datos,sin_datos,sin_datos
5408,MLU661278697,Chandelle Más Allá De Ángeles Y Demonios Illuminati,9788479277420,1,1,esoterismo-tarot/ufologia-misterios,si,si,editorial · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
